Product ID,SKU,Barcode,EAN,UPC,ISBN,MPN,Item name,Color,Size,Product Supplier,Images,Supplier Part Number,Barcode,Sub Category,Product type,In stock,Allocated,On hand,On order,Tax class,Sell code,Buy code,Stock code,WS_HAAKAA PL,Weight,Height,Width,Length,Volume,Brand,Category,Short description
4500,9423,8020936066880,,,,,Actyva Colore Brillante Spray 200ml,,,XPERT,,P024079,8020936079415,to be mapped,Default,90,0,90,0,T6,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Actyva,Haircare,
5404,10318,8020936079293,,,,,Actyva Disciplina Anti-Frizz Cream 125ml,,,XPERT_1,,P027069,8020936079293,to be mapped,Default,5,0,5,0,T1,4000,5000,1001,0,1,5,5,5,125,Actyva,Haircare,
3652,7455,8020936059127,,,,,Actyva Disciplina Curly Cream 150ml,,,XPERT,,P012232,8020936059127,Haircare - All other,Default,7,0,7,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3899,8834,5391515991927,,,,,Actyva Disciplina Gift Set,,,XPERT,,P023945,,to be mapped,Default,0,0,0,0,T6,4000,5000,1001,0,5,5,5,5,125,Actyva,Haircare,
3653,7456,8020936072607,,,,,Actyva Disciplina Mask 200ml,,,XPERT,,P012233,8020936056621,Haircare - Masks / Masque,Default,2,0,2,6,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3655,7458,8020936060192,,,,,Actyva Disciplina Relax Fluid 150ml,,,XPERT,,P012231,8020936060192,Haircare - All other,Default,1,0,1,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3654,7457,8020936056362,,,,,Actyva Disciplina Shampoo 250ml,,,XPERT,,P012230,8020936056362,Haircare - Shampoo,Default,5,0,5,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
4504,9427,9427,,,,,Actyva Dry Volume Spray 125ml,,,XPERT,,P027069,8020936079293,to be mapped,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Actyva,Haircare,
4505,9428,8020936079378,,,,,Actyva Linfa Solare Salty Texture 125ml,,,XPERT,,P027070,8020936079378,to be mapped,Default,2,0,2,0,T6,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Actyva,Haircare,
3683,7876,7876,,,,,Actyva Nouva Fibra Set,,,XPERT,,,5391515991934,Haircare - All other,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3636,6284,8020936060963,,,,,Actyva Nuova Fibra Cream 150ml,,,XPERT,,P021674,8020936060963,Haircare - All other,Default,4,0,4,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3897,8832,5391515991934,,,,,Actyva Nuova Fibra Gift Set,,,XPERT,,P023944,,to be mapped,Default,0,0,0,0,T6,4000,5000,1001,0,5,5,5,5,125,Actyva,Haircare,
3637,6285,8020936072645,,,,,Actyva Nuova Fibra Mask 200ml,,,XPERT,,P022657,8020936072645,Haircare - Masks / Masque,Default,4,0,4,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3694,6285A,8020936072409,,,,,Actyva Nuova Fibra Mask 30mL,,,XPERT_1,,P022657,8020936072409,Haircare - Masks / Masque,Default,68,0,68,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3638,6286,8020936072522,,,,,Actyva Nuova Fibra Shampoo (Damaged Hair) 250ml,,,XPERT,,P011160,8020936072522,Haircare - Shampoo,Default,16,0,16,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3635,6283,8020936077695,,,,,Actyva P Factor Hair Loss Shampoo 250ml,,,XPERT,,P011166,8020936077695,Haircare - Shampoo,Default,24,0,24,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3632,6280,8020936059349,,,,,Actyva P Factor Intensive Lotion Men (Hair Loss) 12x6ml,,,XPERT,,P017316,8020936059349,Haircare - All other,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3633,6281,8020936057024,,,,,Actyva P Factor Intensive Lotion Women (Hair Loss) 12x6ml,,,XPERT,,P011215,8020936057024,Haircare - All other,Default,9,0,9,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3634,6282,8020936059141,,,,,Actyva P Factor Scalp Hair Loss Treatment 150ml,,,XPERT,,P011177,8020936059141,Haircare - Treatments,Default,13,0,13,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3639,6287,8020936072751,8020936072751,,,,Actyva Volume Corposita Conditioner 150ml,,,XPERT,,P013049,8020936072751,Haircare - Conditioner,Default,11,0,11,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3641,6289,8020936072546,,,,,Actyva Volume Corposita Shampoo 250ml,,,XPERT,,P013048,8020936062936,Haircare - Shampoo,Default,8,0,8,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
3640,6288,8020936062875,,,,,Actyva Volume Corposita Spray 150ml,,,XPERT,,P021768,8020936062875,Haircare - All other,Default,7,0,7,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Actyva,Haircare,
4503,9426,8020936079439,,,,,Actyva Volume E Corposita 200ml,,,XPERT,,P027068,8020936079439,to be mapped,Default,4,0,4,0,T6,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Actyva,Haircare,
3898,8833,5391515991804,,,,,Actyva Volume E Corposità Gift Set XMAS,,,XPERT,,P022172,5391515991804,to be mapped,Default,13,0,13,0,T6,4000,5000,1001,0,5,5,5,5,125,Actyva,Haircare,
1014,8048,5060242800276,,,,,Advanced Nutrition Programme Skin Accumax 120 Caps,,,ADVANNUT,,Skin Accumax 120,5060242800276,Skincare,Default,7,0,7,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1015,8049,5060462700127,,,,,Advanced Nutrition Programme Skin Accumax 180 Caps,,,ADVANNUT,,Skin Accumax 180,5060462700127,Skincare,Default,11,0,11,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1008,8042,5060242800238,,,,,Advanced Nutrition Programme Skin Accumax 60 Caps,,,ADVANNUT,,Skin Accumax 60,5060242800238,Skincare,Default,5,0,5,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
3900,8840,5060242800313,,,,,Advanced Nutrition Programme Skin Antioxidant 60 Caps,,,ADVANNUT,,,5060242800313,to be mapped,Default,10,0,10,0,T6,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Advanced Nutrition,Skincare,
1003,8037,5060462704569,,,,,Advanced Nutrition Programme Skin Collagen Plus 2 Pots 60 Caps,,,ADVANNUT,,Skin Collagen Pl,5060462704569,Skincare,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1009,8043,5060242800504,,,,,Advanced Nutrition Programme Skin Complete 120 Caps,,,ADVANNUT,,Skin Complete 12,5060242800504,Skincare,Default,6,0,6,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1004,8038,5060462704996,,,,,Advanced Nutrition Programme Skin Moisture Lock x 60 Softgels,,,ADVANNUT,,Skin Moisture Lo,5060462704996,Skincare,Default,5,0,5,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1011,8045,5060242800368,,,,,Advanced Nutrition Programme Skin Omegas+ 180 Caps,,,ADVANNUT,,Skin Omegas+ 180,5060242800368,Skincare,Default,3,0,3,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1010,8044,5060242800320,,,,,Advanced Nutrition Programme Skin Omegas+ 60 Caps,,,ADVANNUT,,Skin Omegas+ 60,5060242800320,Skincare,Default,5,0,5,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1005,8039,5060242800283,,,,,Advanced Nutrition Programme Skin Vit A+ 60 Caps,,,ADVANNUT,,Skin Vit A+,5060242800283,Skincare,Default,5,0,5,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1006,8040,5060462708383,,,,,Advanced Nutrition Programme Skin Vit C 60 Caps,,,ADVANNUT,,Skin Vit C,5060242800030,Skincare,Default,3,0,3,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1007,8041,5060462709588,,,,,Advanced Nutrition Programme Skin Vitality 1 - 60 Tabs,,,ADVANNUT,,Skin Vitality 1,5060462709588,Skincare,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1012,8046,5060462705009,,,,,Advanced Nutrition Programme Skin Youth Biome 60 Caps,,,ADVANNUT,,Skin Youth Biome,5060462705009,Skincare,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
1013,8047,5060462701162,,,,,Advanced Nutrition Programme Skincare Ultimate 28 Day Supply,,,ADVANNUT,,Skincare Ultimat,5060462701162,Skincare,Default,6,0,6,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Advanced Nutrition,Skincare,
2376,6155,176,,,,,Advanced Pregnancy Planning Kit (Gold Package) Bundle,,,INHEALTH,,,176,InHealth - Our Bundles,Default,--,--,0,--,T6,4000,5000,1001,0,0.5,5,5,5,125,InHealth,Fertility,
1916,102021,666151020818,,,,,Age Smart - Antioxidant Hydramist 150ml,,,DERMEURO,,102021,666151020818,Dermalogica - Age Smart,Default,23,0,23,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Dermalogica,Dermalogica,
4152,9078,,,,,,Alfaparf Anti Breakage Fluid Buy 2 Get 1 Free,,,INHEALTH,,,,to be mapped,Default,--,--,106,--,T6,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
3576,8061,8022297079516,,,,,Alfaparf Blends Of Many Beard and Skin Balm 100ml,,,XPERT_1,,P025134,8022297079516,Haircare - All other,Default,6,0,6,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3578,8063,8022297079486,,,,,Alfaparf Blends Of Many Energizing Lotion 12x10ml,,,XPERT_1,,P025135,8022297079486,Haircare - All other,Default,3,0,3,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3577,8062,8022297079462,,,,,Alfaparf Blends Of Many Energizing Low Shampoo 250ml,,,XPERT_1,,P025133,8022297079462,Haircare - Shampoo,Default,5,0,5,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3579,8064,8022297079493,,,,,Alfaparf Blends Of Many Extra Strong Gel 150ml,,,XPERT_1,,P015318,8022297079493,Haircare - All other,Default,2,0,2,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3580,8065,8022297079509,,,,,Alfaparf Blends Of Many Matte Paste 75ml,,,XPERT_1,,P015319,8022297079509,Haircare - All other,Default,2,0,2,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3575,8060,8022297079479,,,,,Alfaparf Blends Of Many Rebalancing Low Shampoo 250ml,,,XPERT_1,,P015320,8022297079479,Haircare - Shampoo,Default,2,0,2,3,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3581,8066,8022297079455,,,,,Alfaparf Blends Of Many Rebalancing Tonic 100ml,,,XPERT_1,,P025132,8022297079455,Haircare - All other,Default,2,0,2,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
4151,9077,,,,,,Alfaparf Crystalli Liquidi 30ml Buy 2 Get 1 Free,,,INHEALTH,,,,to be mapped,Default,--,--,184,--,T6,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
4159,9084,,,,,,Alfaparf Curls Defining Cream Buy 2 Get 1 Free,,,INHEALTH,,,,to be mapped,Default,--,--,26,--,T6,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
4885,9804,,,,,,Alfaparf Curls Hydration Bundle,,,INHEALTH,,,,to be mapped,Default,--,--,25,--,T1,4000,5000,1001,0,5,5,5,5,125,Alfaparf,Haircare,
4886,9805,,,,,,Alfaparf Curls Leave-In Bundle,,,INHEALTH,,,,to be mapped,Default,--,--,9,--,T1,4000,5000,1001,0,5,5,5,5,125,Alfaparf,Haircare,
4884,9803,,,,,,Alfaparf Curls Shampoo and Co Wash Bundle,,,INHEALTH,,,,to be mapped,Default,--,--,20,--,T1,4000,5000,1001,0,5,5,5,5,125,Alfaparf,Haircare,
3500,7605,7605,,,,,Alfaparf Diamond Luxury Travel Set (Limited Edition),,,XPERT_1,,P019228,5391515991484,Haircare - All other,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
2407,8192,8192,,,,,Alfaparf Diamond Travel Set (Exclusive),,,INHEALTH,,,8192,Haircare - All other,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
2440,6174A,6174A,,,,,Alfaparf Illuminating Diamond Collection for Normal Hair,,,INHEALTH,,P014380,6174A,Haircare - All other,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
5476,10411,8022297130606,,,,,Alfaparf Invisible Root Black 75ml,,,Xpert Professional_Alfa & Joico C55717,,P027425,8022297130606,to be mapped,Default,12,0,12,0,T1,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
5477,10412,8022297130613,,,,,Alfaparf Invisible Root Cold Brown 75ml,,,Xpert Professional_Alfa & Joico C55717,,P027425,8022297130606,to be mapped,Default,24,0,24,0,T1,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
5481,10416,8022297130729,,,,,Alfaparf Invisible Root Compact Black 6.5gr,,,Xpert Professional_Alfa & Joico C55717,,P027430,8022297130651,to be mapped,Default,12,0,12,0,T1,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
5482,10417,8022297130736,,,,,Alfaparf Invisible Root Compact Brown 6.5gr,,,Xpert Professional_Alfa & Joico C55717,,P027431,8022297130729,to be mapped,Default,36,0,36,0,T1,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
5484,10419,8022297130750,,,,,Alfaparf Invisible Root Compact Light Blonde 6.5g,,,Xpert Professional_Alfa & Joico C55717,,P027433,8022297130743,to be mapped,Default,37,0,37,0,T1,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
5483,10418,8022297130743,,,,,Alfaparf Invisible Root Compact Medium Blonde 6.5g,,,Xpert Professional_Alfa & Joico C55717,,P027432,8022297130736,to be mapped,Default,36,0,36,0,T1,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
5479,10414,8022297130637,,,,,Alfaparf Invisible Root Medium Blonde 75ml,,,Xpert Professional_Alfa & Joico C55717,,P027427,8022297130620,to be mapped,Default,24,0,24,0,T1,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
5480,10415,8022297130651,,,,,Alfaparf Invisible Root Red Copper 75ml,,,Xpert Professional_Alfa & Joico C55717,,P027428,8022297130637,to be mapped,Default,12,0,12,0,T1,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
5478,10413,8022297130620,,,,,Alfaparf Invisible Root Warm Brown 75ml,,,Xpert Professional_Alfa & Joico C55717,,P027426,8022297130613,to be mapped,Default,24,0,24,0,T1,4000,5000,1001,0,0.5,0.5,0.5,0.5,0.13,Alfaparf,Haircare,
3403,5703,8022297007892,,,,,Alfaparf Lisse Design Keratin Therapy Maintenance Conditioner 250ml,,,XPERT_1,,P014381,8022297007892,Haircare - Conditioner,Default,30,0,30,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3402,5702,8022297007908,,,,,Alfaparf Lisse Design Keratin Therapy Maintenance Shampoo 250ml,,,XPERT_1,,P014380,8022297007908,Haircare - Shampoo,Default,28,0,28,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
4866,9787,8022297131375,,,,,Alfaparf Milano Hair and Body Cleansing Shampoo 250ml,,,XPERT_1,,P027227,8022297131375,to be mapped,Default,41,0,41,0,T1,4000,5000,1001,0,5,5,5,5,125,Alfaparf,Haircare,
4865,9786,8022297131399,,,,,Alfaparf Milano Hair and Body Pure & Care Spray 100ml,,,XPERT_1,,P027229,8022297131399,to be mapped,Default,45,0,45,0,T1,4000,5000,1001,0,5,5,5,5,125,Alfaparf,Haircare,
2396,7786,1100110011007,,,,,Alfaparf Moisture Travel Set (Exclusive),,,INHEALTH,,,1100110011007,Haircare - All other,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
4116,9040,5391515991484,,,,,Alfaparf My Minis Diamond Collection,,,XPERT_1,,P019228,5391515991484,to be mapped,Default,4,0,4,0,T6,4000,5000,1001,0,5,5,5,5,125,Alfaparf,Haircare,
4115,9039,5391515991477,,,,,Alfaparf My Minis Moisture Collection,,,XPERT_1,,BABR-FP,5391515991477,to be mapped,Default,4,0,4,6,T6,4000,5000,1001,0,5,5,5,5,125,Alfaparf,Haircare,
4117,9041,5391515991491,,,,,Alfaparf My Minis Reconstruction Collection,,,XPERT_1,,P019230,5391515991491,to be mapped,Default,9,0,9,0,T6,4000,5000,1001,0,5,5,5,5,125,Alfaparf,Haircare,
3405,6179,185,,,,,Alfaparf Pigments Set - Gold,,,XPERT_1,,P021438,185,Haircare - All other,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3406,6181,188,,,,,Alfaparf Pigments Set - Golden Violet,,,XPERT_1,,P021437,188,Haircare - All other,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3407,6182,189,,,,,Alfaparf Pigments Set - Red,,,XPERT_1,,P021433,189,Haircare - All other,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3480,7073,8022297064918,,,,,Alfaparf Precious Nature Bad Habit Conditioner 250ml,,,XPERT_1,,P020484,8022297064918,Haircare - Conditioner,Default,0,0,0,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3482,7075,8022297064925,,,,,Alfaparf Precious Nature Bad Habit Double Cream 200m,,,XPERT_1,,P020486,8022297064925,Haircare - All other,Default,0,0,0,3,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3481,7074,8022297060026,,,,,Alfaparf Precious Nature Bad Habits Shampoo 250ml,,,XPERT_1,,P020485,8022297060026,Haircare - Shampoo,Default,1,0,1,3,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3470,7063,8022297059945,,,,,Alfaparf Precious Nature Color Protect Leave In Spray 125ml,,,XPERT_1,,P019413,8022297059945,Haircare - All other,Default,4,0,4,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3476,7069,8022297060002,,,,,Alfaparf Precious Nature Color Protect Mask 200ml,,,XPERT_1,,P019419,8022297060002,Haircare - Masks / Masque,Default,3,0,3,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3473,7066,8022297059976,,,,,Alfaparf Precious Nature Color Protect Shampoo 250ml,,,XPERT_1,,P019416,8022297059976,Haircare - Shampoo,Default,7,0,7,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3475,7068,8022297059990,,,,,Alfaparf Precious Nature Curly/ Wavy Mask 200ml,,,XPERT_1,,P019418,8022297059990,Haircare - Masks / Masque,Default,2,0,2,6,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3472,7065,8022297059969,,,,,Alfaparf Precious Nature Curly/ Wavy Shampoo 250ml,,,XPERT_1,,P019415,8022297059969,Haircare - Shampoo,Default,10,0,10,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3469,7062,8022297059938,,,,,Alfaparf Precious Nature Curly/Wavy Hair Oil 100ml,,,XPERT_1,,P019412,8022297059938,Haircare - All other,Default,6,0,6,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3468,7061,8022297059921,,,,,Alfaparf Precious Nature Long/ Straight Hair Oil 100ml,,,XPERT_1,,P019411,8022297059921,Haircare - All other,Default,4,0,4,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3474,7067,8022297059983,,,,,Alfaparf Precious Nature Long/ Straight Mask 200ml,,,XPERT_1,,P019417,8022297059983,Haircare - Masks / Masque,Default,4,0,4,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
3471,7064,8022297059952,,,,,Alfaparf Precious Nature Long/ Straight Shampoo 250ml,,,XPERT_1,,P019414,8022297059952,Haircare - Shampoo,Default,4,0,4,0,T6,4000,5000,1001,0,0.5,5,5,5,125,Alfaparf,Haircare,
