type,url
product,https://www.allhair.ie/pureology-clean-volume-conditioner-250ml/
product,https://www.allhair.ie/phyto-phytovolume-actif-intense-volumizer-125ml/
product,https://www.allhair.ie/phyto-phytomillisime-colour-locker-100ml-pre-wash/
product,https://www.allhair.ie/phyto-phytomillesime-mask-200ml/
product,https://www.allhair.ie/phyto-phytomillesime-colour-shampoo-200ml/
product,https://www.allhair.ie/phyto-phytomillesime-cleansing-cream-75ml/
product,https://www.allhair.ie/phyto-phytomillesime-beauty-concentrate-150ml/
product,https://www.allhair.ie/phyto-phytologist-15-hair-loss-treatment-12-x-3-5ml/
product,https://www.allhair.ie/phyto-phytologist-15-absolute-energizing-shampoo-200ml/
product,https://www.allhair.ie/phyto-phytokeratine-thermal-protectant-150ml/
product,https://www.allhair.ie/phyto-phytocyane-hair-loss-treatment-women-12-x-7-5ml/
product,https://www.allhair.ie/phyto-phytocyane-densifying-treatment-shampoo-200ml/
product,https://www.allhair.ie/phyto-7-daily-hydrating-botanical-cream-50ml/
product,https://www.allhair.ie/olaplex-no-3-hair-perfector-100ml/
product,https://www.allhair.ie/nioxin-scalp-treatment-6-100ml/
product,https://www.allhair.ie/nioxin-scalp-treatment-5-100ml/
product,https://www.allhair.ie/nioxin-scalp-treatment-4-100ml/
product,https://www.allhair.ie/nioxin-scalp-treatment-3-100ml/
product,https://www.allhair.ie/nioxin-scalp-treatment-2-100ml/
product,https://www.allhair.ie/nioxin-scalp-treatment-1-100ml/
product,https://www.allhair.ie/nioxin-scalp-revitaliser-5-300ml-conditioner/
product,https://www.allhair.ie/nioxin-scalp-revitaliser-5-1000ml-conditioner/
product,https://www.allhair.ie/nioxin-scalp-revitaliser-4-300ml-conditioner/
product,https://www.allhair.ie/nioxin-scalp-revitaliser-4-1000ml-conditioner/
product,https://www.allhair.ie/nioxin-scalp-revitaliser-3-300ml-conditioner/
product,https://www.allhair.ie/nioxin-scalp-revitaliser-3-1000ml-conditioner/
product,https://www.allhair.ie/nioxin-scalp-revitaliser-2-300ml-conditioner/
product,https://www.allhair.ie/nioxin-scalp-revitaliser-2-1000ml-conditioner/
product,https://www.allhair.ie/nioxin-scalp-revitaliser-1-300ml-conditioner/
product,https://www.allhair.ie/nioxin-night-density-rescue-70ml/
product,https://www.allhair.ie/nioxin-diaboost-thickening-xtrafusion-treatment-100ml/
product,https://www.allhair.ie/nioxin-deep-repair-hair-masque-150ml/
product,https://www.allhair.ie/nioxin-cleanser-5-300ml-shampoo/
product,https://www.allhair.ie/nioxin-cleanser-5-1000ml-shampoo/
product,https://www.allhair.ie/nioxin-cleanser-4-300ml-shampoo/
product,https://www.allhair.ie/nioxin-cleanser-4-1000ml-shampoo/
product,https://www.allhair.ie/nioxin-cleanser-3-300ml-shampoo/
product,https://www.allhair.ie/nioxin-cleanser-3-1000ml-shampoo/
product,https://www.allhair.ie/nioxin-cleanser-2-300ml-shampoo/
product,https://www.allhair.ie/nioxin-cleanser-2-1000ml-shampoo/
product,https://www.allhair.ie/nioxin-cleanser-1-300ml-shampoo/
product,https://www.allhair.ie/nioxin-cleanser-1-1000ml-shampoo/
product,https://www.allhair.ie/nioxin-system-kit-6-thinning-medium-to-coarse/
product,https://www.allhair.ie/nioxin-system-kit-5-normal-to-thin-medium-to-coarse/
product,https://www.allhair.ie/nioxin-system-kit-4-thinning-fine-treated/
product,https://www.allhair.ie/nioxin-system-kit-3-normal-thin-treated/
product,https://www.allhair.ie/nioxin-system-kit-2-noticeably-thinning-fine/
product,https://www.allhair.ie/nioxin-system-kit-1-normal-to-thin-hair/
product,https://www.allhair.ie/nioxin-intensive-hair-booster-50ml/
product,https://www.allhair.ie/moroccanoil-volumising-mousse-250ml/
product,https://www.allhair.ie/moroccanoil-treatment-oil-125ml-with-free-intense-hydrating-mask-75ml/
product,https://www.allhair.ie/moroccanoil-treatment-oil-125ml-special/
product,https://www.allhair.ie/moroccanoil-treatment-light-100ml-dry-body-oil-50ml/
product,https://www.allhair.ie/moroccanoil-treatment-25ml/
product,https://www.allhair.ie/moroccanoil-treatment-100ml-dry-body-oil-50ml/
product,https://www.allhair.ie/moroccanoil-treatment-100ml/
product,https://www.allhair.ie/moroccanoil-travel-size-repair-shampoo-conditioner-70ml/
product,https://www.allhair.ie/moroccanoil-travel-kit-hydrate/
product,https://www.allhair.ie/moroccanoil-travel-essentials-repair/
product,https://www.allhair.ie/moroccanoil-travel-essentials-hydrate/
product,https://www.allhair.ie/moroccanoil-travel-essentials-curl/
product,https://www.allhair.ie/moroccanoil-thickening-lotion-100ml/
product,https://www.allhair.ie/moroccanoil-style-set-duo-texture-spray-hairspray/
product,https://www.allhair.ie/moroccanoil-smoothing-shampoo-conditioner-500ml/
product,https://www.allhair.ie/moroccanoil-root-boost-250ml/
product,https://www.allhair.ie/moroccanoil-restorative-hair-mask-travel-size-75ml/
product,https://www.allhair.ie/moroccanoil-restorative-hair-mask-250ml/
product,https://www.allhair.ie/moroccanoil-perfect-defense-225ml-heat-protection/
product,https://www.allhair.ie/moroccanoil-oily-scalp-treatment-45ml/
product,https://www.allhair.ie/moroccanoil-molding-cream-100ml/
product,https://www.allhair.ie/moroccanoil-moisture-repair-shampoo-250ml/
product,https://www.allhair.ie/moroccanoil-moisture-repair-shampoo-conditioner-500/
product,https://www.allhair.ie/moroccanoil-moisture-repair-conditioner-250ml/
product,https://www.allhair.ie/moroccanoil-mending-infusion-75ml-split-ends/
product,https://www.allhair.ie/moroccanoil-luminous-hairspray-strong-hold-travel-size-75ml/
product,https://www.allhair.ie/moroccanoil-luminous-hairspray-medium-hold-travel-size-75ml/
product,https://www.allhair.ie/moroccanoil-love-is-in-the-hair-hydrating-set/
product,https://www.allhair.ie/moroccanoil-light-treatment-oil-25ml--ornament/
product,https://www.allhair.ie/moroccanoil-light-treatment-oil-25ml/
product,https://www.allhair.ie/moroccanoil-light-treatment-oil-100ml/
product,https://www.allhair.ie/moroccanoil-intense-hydrating-mask-travel-size-75ml/
product,https://www.allhair.ie/moroccanoil-intense-hydrating-mask-250ml/
product,https://www.allhair.ie/moroccanoil-intense-curl-cream-travel-size-75ml/
product,https://www.allhair.ie/moroccanoil-intense-curl-cream-300ml/
product,https://www.allhair.ie/moroccanoil-hydrating-style-cream-travel-size-75ml/
product,https://www.allhair.ie/moroccanoil-hydrating-style-cream-300ml/
product,https://www.allhair.ie/moroccanoil-hydrating-shampoo-250ml/
product,https://www.allhair.ie/moroccanoil-hydrating-shampoo-and-conditioner-500ml/
product,https://www.allhair.ie/moroccanoil-hydrating-mask-light-travel-size-75ml/
product,https://www.allhair.ie/moroccanoil-hydrating-conditioner-250ml/
product,https://www.allhair.ie/moroccanoil-glimmer-shine-spray-100ml/
product,https://www.allhair.ie/moroccanoil-extra-volume-shampoo-250ml/
product,https://www.allhair.ie/moroccanoil-extra-volume-bundle/
product,https://www.allhair.ie/moroccanoil-dry-texture-spray-205ml/
product,https://www.allhair.ie/moroccanoil-dry-shampoo-light-tones-205ml/
product,https://www.allhair.ie/moroccanoil-dry-shampoo-dark-tones-205ml/
product,https://www.allhair.ie/moroccanoil-dry-scalp-treatment-45ml/
product,https://www.allhair.ie/moroccanoil-curl-defining-cream-travel-size-75ml/
product,https://www.allhair.ie/moroccanoil-curl-defining-cream-250ml-free-gift/
product,https://www.allhair.ie/moroccanoil-curl-control-mousse-150ml/
product,https://www.allhair.ie/moroccanoil-clarifying-shampoo-250ml/
product,https://www.allhair.ie/moroccanoil-boar-bristle-paddle-brush/
product,https://www.allhair.ie/moroccanoil-blow-dry-concentrate-50ml/
product,https://www.allhair.ie/moroccanoil-beach-wave-mousse-175ml/
product,https://www.allhair.ie/moroccanoil-barrell-brush-45mm/
product,https://www.allhair.ie/moroccanoil-paddle-brush/
product,https://www.allhair.ie/moroccanoil-medium-barrel-brush-35mm/
product,https://www.allhair.ie/moroccanoil-luminous-hairspray-strong-hold-330ml/
product,https://www.allhair.ie/moroccanoil-large-barrel-brush/
product,https://www.allhair.ie/joico-style-finish-humidity-blocker-spray-150ml/
product,https://www.allhair.ie/joico-style-finish-hair-shake-150ml/
