type,url,sku
blog,https://www.beautyskincare.ie/best-cleanser-for-oily-skin/,
blog,https://www.beautyskincare.ie/news/2/Toners.html,
blog,https://www.beautyskincare.ie/news/1/Beauty-Features.html,
product,https://www.beautyskincare.ie/age-smart-skin-resurfacing-cleanser-150ml/,101511
product,https://www.beautyskincare.ie/multivitamin-thermafoliant-75ml/,102321
product,https://www.beautyskincare.ie/multivitamin-power-recovery-masque-75ml/,104403
product,https://www.beautyskincare.ie/age-smart-super-rich-repair-50ml/,103605
product,https://www.beautyskincare.ie/age-smart-multivitamin-power-firm/,106053
product,https://www.beautyskincare.ie/age-smart-renewal-lip-complex/,113511
product,https://www.beautyskincare.ie/precleanse-150ml/,101602
product,https://www.beautyskincare.ie/special-cleansing-gel-500ml/,101106
product,https://www.beautyskincare.ie/special-cleansing-gel-250ml/,101104
product,https://www.beautyskincare.ie/dermalogica-essential-cleansing-solution-500ml/,101306
product,https://www.beautyskincare.ie/essential-cleansing-solution-250ml/,101304
product,https://www.beautyskincare.ie/ultracalming-cleanser-500ml/,110542
product,https://www.beautyskincare.ie/ultracalming-cleanser-250ml/,110541
product,https://www.beautyskincare.ie/products/dermalogica-Multi-active-Toner.html,110616
product,https://www.beautyskincare.ie/daily-microfoliant/,110700
product,https://www.beautyskincare.ie/daily-resurfacer/,111595
product,https://www.beautyskincare.ie/active-moist-50ml/,110597
product,https://www.beautyskincare.ie/skin-smoothing-cream-100ml/,110631
product,https://www.beautyskincare.ie/skin-smoothing-cream-50ml/,110630
product,https://www.beautyskincare.ie/intensive-moisture-balance-100ml/,110625
product,https://www.beautyskincare.ie/intensive-moisture-balance-50ml/,110624
product,https://www.beautyskincare.ie/ultracalming-barrier-repair-30ml/,110548
product,https://www.beautyskincare.ie/ultracalming-mist-177ml/,110545
product,https://www.beautyskincare.ie/skin-refining-masque/,110106
product,https://www.beautyskincare.ie/skin-hydrating-booster/,105012
product,https://www.beautyskincare.ie/skin-renewal-booster/,110723
product,https://www.beautyskincare.ie/products/Soothing-Eye-Makeup-Remover.html,106152
product,https://www.beautyskincare.ie/total-eye-care-spf15-15ml/,110662
product,https://www.beautyskincare.ie/dermalogica-intensive-eye-repair/,110709
product,https://www.beautyskincare.ie/overnight-clearing-gel-50ml/,106122
product,https://www.beautyskincare.ie/concealing-spot-treatment/,110902
product,https://www.beautyskincare.ie/sebum-clearing-masque-75ml/,104513
product,https://www.beautyskincare.ie/products/Starter-Kit-AGE-Smart.html,110677
