product_id,videos,name,sku,url
39,0,Carin Finishing Cream 100ml,CAR_CAFC,https://www.beautyfeatures.ie/carin-finishing-cream-100ml/
91,0,Burt's Bees - Honey Lip Balm,40867,https://www.beautyfeatures.ie/burts-bees-honey-lip-balm/
115,0,Burt's Bees - Tips and Toes,43133,https://www.beautyfeatures.ie/burts-bees-tips-and-toes/
157,1,Decleor Aromessence - White Magnolia 15ml,100025,https://www.beautyfeatures.ie/decleor-aromessence-white-magnolia-15ml/
166,0,Decleor Aromessence Lavande Fine Oil Serum 15ml,100027,https://www.beautyfeatures.ie/decleor-aromessence-lavande-fine-oil-serum-15ml/
171,0,Decleor - Gentle Peeling Cream Thyme - 50ml,100030,https://www.beautyfeatures.ie/decleor-gentle-peeling-cream-thyme-50ml/
174,0,Decleor Aromessence Neroli Bigarade,100031,https://www.beautyfeatures.ie/decleor-aromessence-neroli-bigarade/
175,0,Decleor Aromessence Rose D'Orient Soothing comfort Oil Serum 15ml,42976,https://www.beautyfeatures.ie/decleor-aromessence-rose-dorient-soothing-comfort-oil-serum-15ml/
181,0,Decleor Day Cream and Mask - Rose Damascena 50ml,100034,https://www.beautyfeatures.ie/decleor-day-cream-and-mask-rose-damascena-50ml/
195,0,Kerastase  Nutritive Masquintense Epais 200ml,KER_44015370,https://www.beautyfeatures.ie/kerastase-nutritive-masquintense-epais-200ml/
202,0,Kerastase  Nutritive Lait Vital 200ml,KER_4401984,https://www.beautyfeatures.ie/kerastase-nutritive-lait-vital-200ml/
203,3,Kerastase  Resistance Ciment Thermique 150ml,KER_4402020,https://www.beautyfeatures.ie/kerastase-resistance-ciment-thermique-150ml/
204,0,Kerastase  Resistance Volumifique Bain 250ml,KER_4402026,https://www.beautyfeatures.ie/kerastase-resistance-volumifique-bain-250ml/
207,0,Kerastase  Nutritive Bain Satin 2 250ml,KER_4402082,https://www.beautyfeatures.ie/kerastase-nutritive-bain-satin-2-250ml/
215,0,Kerastase Specifique Bain Divalent 250ml (Oily),KER_4402185,https://www.beautyfeatures.ie/kerastase-specifique-bain-divalent-250ml-oily/
218,0,Kerastase Resistance Volumifique Gelee 200ml,KER_4402316,https://www.beautyfeatures.ie/kerastase-resistance-volumifique-gelee-200ml/
222,0,Kerastase  Elixir Ultime 100ml,KER_E022410,https://www.beautyfeatures.ie/kerastase-elixir-ultime-100ml/
224,0,Kerastase Resistance Ciment Anti Usure 200ml,KER_E046500,https://www.beautyfeatures.ie/kerastase-resistance-ciment-anti-usure-200ml/
236,2,Moroccanoil Treatment - 100ml,MOR_MO0002,https://www.beautyfeatures.ie/moroccanoil-treatment-100ml/
237,0,Moroccanoil Hydrating Style Cream - 300ml,MOR_MO0004,https://www.beautyfeatures.ie/moroccanoil-hydrating-style-cream-300ml/
238,1,Moroccanoil Intense Curl Cream - 300ml,MOR_MO0006,https://www.beautyfeatures.ie/moroccanoil-intense-curl-cream-300ml/
239,2,Moroccanoil Intense Hydrating Mask 250ml,MOR_MO0008,https://www.beautyfeatures.ie/moroccanoil-intense-hydrating-mask-250ml/
240,0,Moroccanoil Glimmer Shine Spray - 100ml,MOR_MO0009,https://www.beautyfeatures.ie/moroccanoil-glimmer-shine-spray-100ml/
241,1,Moroccanoil Restorative Hair Mask - 250ml,MOR_MO0011,https://www.beautyfeatures.ie/moroccanoil-restorative-hair-mask-250ml/
244,1,Moroccanoil Moisture Repair Conditioner 250ml,MOR_MO0020,https://www.beautyfeatures.ie/moroccanoil-moisture-repair-conditioner-250ml/
245,1,Moroccanoil Treatment - 25ml,MOR_MO0029,https://www.beautyfeatures.ie/moroccanoil-treatment-25ml/
246,1,Moroccanoil Light Treatment Oil - 100ml,MOR_MO0030,https://www.beautyfeatures.ie/moroccanoil-light-treatment-oil-100ml/
247,1,Moroccanoil Light Treatment Oil 25ml,MOR_MO0040,https://www.beautyfeatures.ie/moroccanoil-light-treatment-oil-25ml/
248,1,Moroccanoil Extra Volume Shampoo 250ml,MOR_MO0043,https://www.beautyfeatures.ie/moroccanoil-extra-volume-shampoo-250ml/
249,1,Moroccanoil Extra Volume Conditioner 250ml,MOR_MO0044,https://www.beautyfeatures.ie/moroccanoil-extra-volume-conditioner-250ml/
284,0,Trilogy - 100% Pure Rosehip Oil - 20ml,40776,https://www.beautyfeatures.ie/trilogy-100-pure-rosehip-oil-20ml/
298,0,Trilogy - 100% Pure Rosehip Oil - 45ml,TRI_9327,https://www.beautyfeatures.ie/trilogy-100-pure-rosehip-oil-45ml/
381,0,Redken - All Soft Conditioner 300ml,REDK_P042560,https://www.beautyfeatures.ie/redken-all-soft-conditioner-300ml/
382,0,Redken - All Soft Heavy Cream 250ml,REDK_P042690,https://www.beautyfeatures.ie/redken-all-soft-heavy-cream-250ml/
383,0,Redken - All Soft Shampoo 300ml,REDK_P042480,https://www.beautyfeatures.ie/redken-all-soft-shampoo-300ml/
389,0,Redken - Colour Extend Conditioner 300ml,REDK_P042890,https://www.beautyfeatures.ie/redken-colour-extend-conditioner-300ml/
390,0,Redken - Colour Extend Shampoo 300ml,REDK_P042820,https://www.beautyfeatures.ie/redken-colour-extend-shampoo-300ml/
392,0,Redken - Extreme Cat Treatment 150ml,REDK_P027860,https://www.beautyfeatures.ie/redken-extreme-cat-treatment-150ml/
393,0,Redken - Extreme Strength Builder Plus 250ml,REDK_P029530,https://www.beautyfeatures.ie/redken-extreme-strength-builder-plus-250ml/
394,0,Redken - Extreme Conditioner 300ml,REDK_P027790,https://www.beautyfeatures.ie/redken-extreme-conditioner-300ml/
395,0,Redken - Extreme Shampoo 300ml,REDK_P027970,https://www.beautyfeatures.ie/redken-extreme-shampoo-300ml/
396,0,Redken - Extreme Anti Snap 250ml,REDK_P027920,https://www.beautyfeatures.ie/redken-extreme-anti-snap-250ml/
421,0,Clarins - Beauty Flash Balm - 50ml,CLA_00453100,https://www.beautyfeatures.ie/clarins-beauty-flash-balm-50ml/
426,0,Clarins - Cleansing Milk - Combination/Oily - 200ml,CLA_00012214,https://www.beautyfeatures.ie/clarins-cleansing-milk-combination-oily-200ml/
428,0,Clarins - Cleansing Milk - Dry/Normal - 200ml,CLA_00011214,https://www.beautyfeatures.ie/clarins-cleansing-milk-dry-normal-200ml/
454,0,Clarins - Hand and Nail Treatment Cream 100ml,CLA_00592100,https://www.beautyfeatures.ie/clarins-hand-and-nail-treatment-cream-100ml/
461,0,Clarins - Instant Smooth Perfecting Touch - 15ml,CLA_04700210,https://www.beautyfeatures.ie/clarins-instant-smooth-perfecting-touch-15ml/
464,0,Clarins - Moisture-Rich Body Lotion - 200ml,CLA_00545104,https://www.beautyfeatures.ie/clarins-moisture-rich-body-lotion200/
465,0,Clarins - Multi Active Day - Wrinkle Correction,CLA_00110110,https://www.beautyfeatures.ie/clarins-multi-active-day-wrinkle-correction/
484,0,Clarins - Toning Lotion - Dry/Normal - 200ml,CLA_00051214,https://www.beautyfeatures.ie/clarins-toning-lotion-dry-normal-200ml/
587,0,Tweezerman - Wide Grip Tweezer- Assorted,TWE_1217-CR,https://www.beautyfeatures.ie/tweezerman-wide-grip-tweezer-assorted/
588,0,Tweezerman - Slant Tweezer - Black,TWE_1230-BR,https://www.beautyfeatures.ie/tweezerman-slant-tweezer-black/
597,0,Moroccanoil -  Luminous Hairspray Medium Hold 330ml,MOR_MO0032,https://www.beautyfeatures.ie/moroccanoil-luminous-hairspray-medium-hold-330ml/
598,0,Moroccanoil -  Paddle Brush,MOR_MO0037,https://www.beautyfeatures.ie/moroccanoil-paddle-brush/
599,0,Moroccanoil -  Medium Barrel Brush 35mm,MOR_MO0035,https://www.beautyfeatures.ie/moroccanoil-medium-barrel-brush-35mm/
600,0,Moroccanoil -  Large Barrel Brush,MOR_MO0036,https://www.beautyfeatures.ie/moroccanoil-large-barrel-brush/
606,0,Trilogy - Rosehip Oil Antioxidant+ 30ml,TRI_9339,https://www.beautyfeatures.ie/trilogy-rosehip-oil-antioxidant-30ml/
612,0,Kerastase Bain De Force Architecte 250ml,KER_E057430,https://www.beautyfeatures.ie/kerastase-bain-de-force-architecte-250ml/
613,0,Kerastase Masque Force Architecte 200ml,KER_E029600,https://www.beautyfeatures.ie/kerastase-masque-force-architecte-200ml/
619,0,Kerastase  Bain Chroma Captive 250ml,KER_E053510,https://www.beautyfeatures.ie/kerastase-bain-chroma-captive-250ml/
620,0,Kerastase Fondant Chromatique 200ml,KER_E053670,https://www.beautyfeatures.ie/kerastase-fondant-chromatique-200ml/
721,0,Nioxin -  System Kit 1 (Normal to Thin Hair),100100,https://www.beautyfeatures.ie/nioxin-system-kit-1-normal-to-thin-hair/
722,1,"Nioxin -  System Kit 2 (Noticeably Thinning, Fine)",100101,https://www.beautyfeatures.ie/nioxin-system-kit-2-noticeably-thinning-fine/
723,0,Nioxin -  System Kit 3 (Normal/Thin/Treated),100102,https://www.beautyfeatures.ie/nioxin-system-kit-3-normal-thin-treated/
724,1,"Nioxin -  System Kit 4 (Thinning, Fine, Treated)",100103,https://www.beautyfeatures.ie/nioxin-system-kit-4-thinning-fine-treated/
725,1,"Nioxin -  System Kit 5 (Normal to thin, medium to coarse)",100104,https://www.beautyfeatures.ie/nioxin-system-kit-5-normal-to-thin-medium-to-coarse/
726,1,"Nioxin -  System Kit 6 (Thinning, Medium to Coarse)",100105,https://www.beautyfeatures.ie/nioxin-system-kit-6-thinning-medium-to-coarse/
727,0,Nioxin - Deep Repair Hair Masque - 150ml,100106,https://www.beautyfeatures.ie/nioxin-deep-repair-hair-masque-150ml/
728,1,Nioxin -  Intensive Hair Booster - 50ml,100107,https://www.beautyfeatures.ie/nioxin-intensive-hair-booster-50ml/
729,1,Nioxin Cleanser 1 - 300ml (Shampoo),100108,https://www.beautyfeatures.ie/nioxin-cleanser-1-300ml-shampoo/
730,1,Nioxin Scalp Revitaliser 1 - 300ml (Conditioner),100109,https://www.beautyfeatures.ie/nioxin-scalp-revitaliser-1-300ml-conditioner/
731,0,Nioxin Scalp Treatment 1 - 100ml,100110,https://www.beautyfeatures.ie/nioxin-scalp-treatment-1-100ml/
732,0,Nioxin Cleanser 2 - 300ml (Shampoo),100111,https://www.beautyfeatures.ie/nioxin-cleanser-2-300ml-shampoo/
733,0,Nioxin Scalp Revitaliser 2 - 300ml (Conditioner),100112,https://www.beautyfeatures.ie/nioxin-scalp-revitaliser-2-300ml-conditioner/
734,0,Nioxin Scalp Treatment 2 - 100ml,100113,https://www.beautyfeatures.ie/nioxin-scalp-treatment-2-100ml/
735,0,Nioxin Cleanser 3 - 300ml (Shampoo),100114,https://www.beautyfeatures.ie/nioxin-cleanser-3-300ml-shampoo/
736,0,Nioxin Scalp Revitaliser 3 - 300ml (Conditioner),100115,https://www.beautyfeatures.ie/nioxin-scalp-revitaliser-3-300ml-conditioner/
737,0,Nioxin Scalp Treatment 3 - 100ml,100116,https://www.beautyfeatures.ie/nioxin-scalp-treatment-3-100ml/
738,0,Nioxin Cleanser 4 - 300ml (Shampoo),100117,https://www.beautyfeatures.ie/nioxin-cleanser-4-300ml-shampoo/
739,0,Nioxin Scalp Revitaliser 4 - 300ml (Conditioner),100118,https://www.beautyfeatures.ie/nioxin-scalp-revitaliser-4-300ml-conditioner/
740,0,Nioxin Scalp Treatment 4 - 100ml,100119,https://www.beautyfeatures.ie/nioxin-scalp-treatment-4-100ml/
741,0,Nioxin  Cleanser 5 - 300ml (Shampoo),100120,https://www.beautyfeatures.ie/nioxin-cleanser-5-300ml-shampoo/
742,0,Nioxin -Scalp Revitaliser 5 - 300ml (Conditioner),100121,https://www.beautyfeatures.ie/nioxin-scalp-revitaliser-5-300ml-conditioner/
