type,url,sku
product,https://dogspace.ie/fred-clear-view-stairgate-pressure-fit-76-96cm/,6345
product,https://dogspace.ie/babydan-quick-release-extra-tall-safety-gate-63-5-107cm/,
product,https://dogspace.ie/scandanavian-pet-design-extra-tall-pet-gate-63-5-107cm/,
product,https://dogspace.ie/babydan-46-cm-extension-section-white/,6847
product,https://dogspace.ie/babydan-46-cm-extension-section-black/,6848
product,https://dogspace.ie/babydan-20-cm-extension-section-white/,6849
product,https://dogspace.ie/babydan-20-cm-extension-section-black/,6850
product,https://dogspace.ie/babydan-3-in-1-playpen-room-divider-hearth-gate-black-90-350cm/,6851
product,https://dogspace.ie/babydan-extra-tall-gate-extension-72cm-black/,5260a
product,https://dogspace.ie/safetots-advanced-retractable-safety-gate-white-60-120cm/,7020
product,https://dogspace.ie/kidkusion-18ft-driveway-guard-black/,7021
product,https://dogspace.ie/bettacare-child-and-pet-and-cat-flap-matt-black-extra-tall-extension-12-9cm/,7025
product,https://dogspace.ie/bettacare-child-and-pet-and-cat-flap-matt-black-extra-tall-extension-32-4cm/,7026
product,https://dogspace.ie/bettacare-child-and-pet-and-cat-flap-matt-black-extra-tall-extension-6-4cm/,7027
product,https://dogspace.ie/bettacare-gate-with-lockable-cat-flap-matt-black-extra-tall-75-84cm/,7029
product,https://dogspace.ie/wooden-multi-panel-multi-use-safety-barrier-96-5-176-5cm/,7015
product,https://dogspace.ie/dreambaby-arizona-extenda-gate-white-67-112cm/,7712
product,https://dogspace.ie/dreambaby-ava-gate-9cm-wide-extension-charcoal/,7708
product,https://dogspace.ie/dreambaby-ava-metal-pressure-safety-gate-charcoal-75-82cm/,7707
product,https://dogspace.ie/dreambaby-brooklyn-converta-play-pen-room-divider-with-mesh-sides-85-5-375cm/,7711
product,https://dogspace.ie/dreambaby-chelsea-100cm-wide-gate-extension-white/,7742
product,https://dogspace.ie/dreambaby-chelsea-18cm-wide-gate-extension-white/,7736
product,https://dogspace.ie/dreambaby-chelsea-27cm-wide-gate-extension-white/,7737
product,https://dogspace.ie/dreambaby-chelsea-36cm-wide-gate-extension-white/,7738
product,https://dogspace.ie/dreambaby-chelsea-45cm-wide-gate-extension-white/,7739
product,https://dogspace.ie/dreambaby-chelsea-54cm-wide-gate-extension-white/,7740
product,https://dogspace.ie/dreambaby-chelsea-63cm-wide-gate-extension-white/,7741
product,https://dogspace.ie/dreambaby-chelsea-9cm-wide-gate-extension-white/,7735
product,https://dogspace.ie/dreambaby-chelsea-auto-close-gate-white-71-480cm/,7734
product,https://dogspace.ie/dreambaby-cosmopolitan-wood-metal-pressure-safety-gate-75-82cm/,7709
product,https://dogspace.ie/dreambaby-denver-adapta-gate-black-metal-with-grey-mesh-panels-85-5-210cm/,7710
product,https://dogspace.ie/dreambaby-y-spindle-banister-gate-adaptors-2-pack-fit-pressure-gate-to-stairs/,7713
product,https://dogspace.ie/dreambaby-protect-a-wall-mounting-cup-for-pressure-gates-only/,7723
product,https://dogspace.ie/dreambaby-retractable-gate-spacers-black/,7706
product,https://dogspace.ie/dreambaby-retractable-stair-gate-black-20-140cm/,7704
product,https://dogspace.ie/dreambaby-retractable-stair-gate-grey-20-140cm/,7705
product,https://dogspace.ie/babydan-new-perfect-close-safety-gate-77-3-83-5cm-max-110cm/,7671
product,https://dogspace.ie/bettacare-expandable-pet-barrier-natural-60-108cm/,7693
product,https://dogspace.ie/safetots-secure-fabric-gate-grey-79-5-96-5cm/,7694
product,https://dogspace.ie/safetots-simply-secure-wooden-gate-azure-blue-72-79cm/,7695
product,https://dogspace.ie/safetots-simply-secure-wooden-gate-grey-72-79cm/,7696
product,https://dogspace.ie/bettacare-deluxe-fit-any-car-adjustable-dog-barrier/,7697
product,https://dogspace.ie/safetots-chunky-wooden-screw-fit-stair-gate-grey-63-5-105-5cm/,7699
product,https://dogspace.ie/safetots-chunky-wooden-screw-fit-stair-gate-azure-blue-63-5-105-5cm/,7700
product,https://dogspace.ie/babydan-premier-extra-wide-up-to-151cm-white/,8194
product,https://dogspace.ie/babydan-premier-extra-wide-up-to-182cm-white/,8195
product,https://dogspace.ie/babydan-premier-gate-extension-32cm/,8196
product,https://dogspace.ie/babydan-extra-tall-extending-metal-pet-gate-white-62-5-106-8cm/,8197
product,https://dogspace.ie/babydan-extra-tall-extending-metal-pet-gate-black-62-5cm/,8198
product,https://dogspace.ie/dreambaby-broadway-gro-gate-extra-wide-white-fits-gaps-76cm-134-5cm/,8538
product,https://dogspace.ie/dreambaby-broadway-gro-gate-extra-tall-extra-wide-white-fits-gaps-76cm-134-5cm/,8539
product,https://dogspace.ie/safetots-chunky-wooden-screw-fit-stair-gate-natural-63-5cm-105-5cm/,8752
product,https://dogspace.ie/babydan-stair-post-adaptor/,7672
product,https://dogspace.ie/bettacare-pet-gate-plus-cat-flap-white-75cm-84cm/,8751
product,https://dogspace.ie/babydan-premier-gate-extension-64-5cm/,8877
product,https://dogspace.ie/babydan-premier-pressure-indicator-gate-white-86-5cm-92-6cm/,8878
product,https://dogspace.ie/babydan-premier-pressure-indicator-gate-white-99-5cm-105-6cm/,8879
product,https://dogspace.ie/babydan-premier-pressure-indicator-gate-white-112-5cm-118-6cm/,8880
product,https://dogspace.ie/babydan-premier-pressure-indicator-gate-white-151cm-157cm/,8881
product,https://dogspace.ie/babydan-premier-pressure-indicator-gate-white-182-5cm-188-6cm/,8882
product,https://dogspace.ie/babydan-premier-pressure-indicator-gate-black-86-5cm-92-6cm/,8883
product,https://dogspace.ie/babydan-premier-pressure-indicator-gate-black-99-5cm-105-6cm/,8884
product,https://dogspace.ie/babydan-premier-pressure-indicator-gate-black-112-5cm-118-6cm/,8885
product,https://dogspace.ie/babydan-premier-pressure-pet-gate-black-73-79-6cm-max-120/,9063
product,https://dogspace.ie/babydan-premier-pressure-pet-gate-extension-black/,9064
product,https://dogspace.ie/fred-universal-stair-post-dark-grey/,10456
